Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        13991        84332           1      100201   84331886 .TAU application
 52.0        0.983        43845           1          50   43845316 Driver_Main
 52.0         2782        43842          10      139808    4384186 MultiStage_Step
 31.5        20507        26566       11360      297280       2339 Task_SendBoundaryBuffers_MeshBlockData
 27.7         4399        23336           2       17661   11668194 Mesh::Initialize
 15.0        0.320        12687          12          13    1057238 LoadBalancingAndAdaptiveMeshRefinement
 15.0         10.4        12684           1         913   12684156 RedistributeAndRefineMeshBlocks
  9.9         6277         8354           1       80360    8354359 Step 7: Construct new MeshBlockList
  9.9         3926         8312        9040      220160        920 Task_SetBoundaries_MeshBlockData
  6.7         5643         5643      277504           0         20 Kokkos::parallel_for PackData 4D [device=33554432]
  6.5         5503         5503      277504           0         20 Kokkos::parallel_for UnpackData 4D [device=33554432]
  6.3          410         5288       11360       34080        466 Task_ProlongateBoundaries
  4.6         1876         3873       11360       99072        341 RestrictBoundaries
  4.5          409         3781       11363       34089        333 Task_FillDerived
  2.9         2413         2413      118848           0         20 Kokkos::parallel_for RestrictCellCenteredValues3d [device=33554432]
  2.5         1018         2134        2320       57344        920 Task_ReceiveAndSetBoundariesWithWait
  1.5          261         1291        9040        9040        143 Task_Tag_Block
  1.5          590         1248        9040       27120        138 Task_Advection_CalculateFluxes
  1.4         1194         1194       10456           0        114 Kokkos::parallel_reduce advection check refinement [device=0]
  1.4          814         1145       11363       14240        101 PostFillDerived
  1.3          796         1121       11363       14240         99 PreFillDerived
  1.3          786         1106       11363       14240         97 FillDerived
  1.1          469          905       11360       19776         80 ProlongateBoundaries
  0.8          283          657        9944        9944         66 Task_EstimateTimestep
  0.7          447          587          20        6354      29334 Task_WeightedSumData
  0.7          452          553        9040        4800         61 Task_SendFluxCorrection
  0.5          447          447       20224           0         22 Kokkos::parallel_for ProlongateCellCenteredValues3d [device=33554432]
  0.5          422          422           1           2     422178 MPI_Init_thread() 
