Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      1152082     44556705          32 3.09658E+06 1392397046 .TAU application
 80.4         1229     35843158          32      127663 1120098694 Driver_Main
 77.4       126687     34482735         288 9.12834E+06  119731719 Mesh::Initialize
 74.5         15.8     33215100         384         640   86497655 LoadBalancingAndAdaptiveMeshRefinement
 73.7         1613     32824439         256      147607  128220465 RedistributeAndRefineMeshBlocks
 37.2     16576944     16576944 4.72597E+06           0       3508 MPI_Start() 
 36.1     16104371     16104371  3.5375E+06           0       4552 MPI_Wait() 
 35.0      1606583     15614303      358074 1.16646E+07      43606 Task_SendBoundaryBuffers_MeshBlockData
 33.8        85590     15073524      178239 5.71539E+06      84569 Task_ReceiveAndSetBoundariesWithWait
 11.5       180395      5140608         320 6.26392E+06   16064402 MultiStage_Step
 10.0        18825      4447265      358074 2.36298E+06      12420 Task_StartReceiving
  4.3      1933732      1933732 9.12223E+06           0        212 Kokkos::parallel_for UnpackData 4D [device=33554432]
  4.1      1823378      1823378 9.12223E+06           0        200 Kokkos::parallel_for PackData 4D [device=33554432]
  3.4        83710      1499398      179835 4.57536E+06       8338 Task_SetBoundaries_MeshBlockData
  3.2         1235      1403910         256        6367    5484024 Step 8: Recv data and unpack
  2.6      1146951      1146951         672           0    1706772 MPI_Allreduce() 
  1.9        17993       866341      358074 2.36298E+06       2419 Task_ClearBoundary
  1.4       616525       616525         196           0    3145534 MPI_Waitall() 
  1.1       289755       498080         256      907774    1945626 Step 7: Construct new MeshBlockList
  0.9         37.6       390645         384        1024    1017304 UpdateMeshBlockTree
  0.9       390546       390546         768           0     508523 MPI_Allgather() 
  0.9        13274       379963      358394 1.07518E+06       1060 Task_FillDerived
  0.4        11910       171399      179835      539505        953 Task_Advection_CalculateFluxes
  0.4        13426       170213      358074 1.07422E+06        475 Task_ProlongateBoundaries
  0.3       140360       140360      866308           0        162 Kokkos::parallel_for RestrictCellCenteredValues3d [device=33554432]
  0.3        42062       125791      358394      421497        351 FillDerived
  0.3        42739       125538      358394      421497        350 PostFillDerived
  0.3        15643       118781      358074      682168        332 RestrictBoundaries
  0.3        41707       115359      358394      421497        322 PreFillDerived
  0.2        60350        78733 2.88826E+06 5.64601E+06         27 Task_ReceiveBoundaryBuffers_MeshBlockData
  0.2         9448        78128      323794      323794        241 Task_EstimateTimestep
  0.2        69847        69847      214115           0        326 Kokkos::parallel_reduce advection check refinement [device=0]
  0.2        69716        69716      358074           0        195 Kokkos::parallel_for advection_package::SquareIt [device=33554432]
  0.2        68745        68745      358074           0        192 Kokkos::parallel_for advection_package::PostFill [device=33554432]
  0.2        68680        68680      323794           0        212 Kokkos::parallel_reduce advection_package::EstimateTimestep [device=0]
  0.1         5374        66089      179835      179835        367 Task_Tag_Block
  0.1        60340        60340      179835           0        336 Kokkos::parallel_for x3 flux [device=33554432]
  0.1        60333        60333      179835           0        335 Kokkos::parallel_for x2 flux [device=33554432]
  0.1        59579        59579      358074           0        166 Kokkos::parallel_for advection_package::PreFill [device=33554432]
  0.1        37405        57658         640      135138      90091 Task_WeightedSumData
  0.1        38816        38816      179835           0        216 Kokkos::parallel_for x1 flux [device=33554432]
  0.1         6836        34776      358074      184140         97 ProlongateBoundaries
  0.1        29450        29452          32          64     920381 MPI_Init_thread() 
  0.1        28257        28257      186068           0        152 Kokkos::parallel_for ProlongateCellCenteredValues3d [device=33554432]
  0.1        26976        26976      139511           0        193 Kokkos::parallel_for Kokkos::View::initialization [MakePack::sparse_assoc] [device=0]
  0.1        26867        26867      139511           0        193 Kokkos::parallel_for Kokkos::View::initialization [MakePack::vector_component] [device=0]
  0.1        26720        26720      139511           0        192 Kokkos::parallel_for Kokkos::View::initialization [MakePack::cv] [device=0]
  0.1        13042        24685      179835       36265        137 Task_SendFluxCorrection
  0.1        13281        24360      937298      274602         26 Task_ReceiveFluxCorrection
  0.0        12960        12960       42282           0        307 Kokkos::parallel_for Kokkos::View::initialization [recv buf 12] [device=0]
  0.0        12955        12955       42282           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 18] [device=0]
